10,B0.0,-1.08,-0.3,-0.19,-0.31,-0.8,-0.92,-0.97,-1.13,-1,-9.99,-0.22,-0.44,30000.00,31500.00
10.5,B0.5,-1,-0.28,-0.18,-0.31,-0.77,-0.89,-0.95,-1.11,-0.99,-9.99,-0.2,-0.43,28000,29750
11,B1.0,-0.95,-0.26,-0.16,-0.3,-0.73,-0.85,-0.93,-1.08,-0.96,-9.99,-0.18,-0.42,26000.00,28000.00
11.5,B1.5,-0.88,-0.25,-0.15,-0.29,-0.7,-0.82,-0.91,-1.05,-0.94,-9.99,-0.17,-0.41,24000,26000
12,B2.0,-0.81,-0.24,-0.14,-0.29,-0.67,-0.79,-0.89,-1.02,-0.92,-9.99,-0.15,-0.4,22000.00,24000.00
12.5,B2.5,-0.72,-0.22,-0.13,-0.28,-0.64,-0.76,-0.86,-0.97,-0.88,-0.96,-0.14,-0.39,20833.335,22416.665
13,B3.0,-0.68,-0.2,-0.12,-0.27,-0.6,-0.72,-0.82,-0.92,-0.84,-0.91,-0.13,-0.38,19666.67,20833.33
13.5,B3.5,-0.65,-0.19,-0.12,-0.26,-0.58,-0.7,-0.8,-0.9,-0.82,-0.87,-0.12,-0.37,18500,19666.665
14,B4.0,-0.63,-0.18,-0.11,-0.25,-0.56,-0.68,-0.77,-0.86,-0.79,-0.84,-0.11,-0.35,17333.33,18500.00
14.5,B4.5,-0.61,-0.17,-0.11,-0.24,-0.54,-0.65,-0.74,-0.83,-0.76,-0.8,-0.11,-0.34,16166.665,17333.335
15,B5.0,-0.58,-0.16,-0.1,-0.24,-0.51,-0.62,-0.71,-0.78,-0.73,-0.75,-0.1,-0.33,15000.00,16166.67
16,B6.0,-0.49,-0.14,-0.1,-0.21,-0.46,-0.57,-0.64,-0.7,-0.65,-0.66,-0.09,-0.29,14166.67,14583.33
17,B7.0,-0.43,-0.13,-0.09,-0.19,-0.41,-0.51,-0.57,-0.61,-0.58,-0.58,-0.08,-0.26,13333.33,13750.00
17.5,B7.5,-0.4,-0.12,-0.09,-0.17,-0.39,-0.48,-0.54,-0.57,-0.54,-0.53,-0.08,-0.24,12916.665,13333.335
18,B8.0,-0.36,-0.11,-0.08,-0.16,-0.36,-0.45,-0.49,-0.52,-0.49,-0.48,-0.07,-0.22,12500.00,12916.67
18.5,B8.5,-0.27,-0.09,-0.08,-0.13,-0.31,-0.4,-0.43,-0.43,-0.42,-0.39,-0.07,-0.18,11723.4,12320.035
19,B9.0,-0.18,-0.07,-0.07,-0.1,-0.26,-0.34,-0.33,-0.34,-0.34,-0.3,-0.06,-0.14,10946.80,11723.40
